1.000	0x1c29b4	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	mov %r15d,%r12d
1.000	0x1c29b7	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	524	cmp 0x210(%rsp),%r15d
1.000	0x1c29bf	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	524	mov 0x1a8(%rsp),%rbx
1.000	0x1c29c7	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	524	mov 0x5c8(%rsp),%r15
1.000	0x1c29cf	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	524	jae 1c2de0 <<rexx_exec::Interp>::run_ops_from::<false>+0x700>
1.000	0x1c29d5	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	548	mov %r12d,%eax
1.000	0x1c29d8	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	548	shl $0x4,%rax
1.000	0x1c29dc	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	mov 0x368(%rsp),%rdx
1.000	0x1c29e4	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	movzbl (%rdx,%rax,1),%ecx
1.000	0x1c29e8	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	cmp $0x28,%rcx
1.000	0x1c29ec	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	ja 1c5ca2 <<rexx_exec::Interp>::run_ops_from::<false>+0x35c2>
1.000	0x1c29f2	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	add %rdx,%rax
1.000	0x1c29f5	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	lea -0x18290c(%rip),%rsi # 400f0 <GCC_except_table3538+0x2d78>
1.000	0x1c29fc	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	movslq (%rsi,%rcx,4),%rdx
1.000	0x1c2a00	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	add %rsi,%rdx
1.000	0x1c2a03	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	549	jmp *%rdx
1.000	0x1c2a05	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	561	mov 0x4(%rax),%edx
1.000	0x1c2a08	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	mov 0x188(%rsp),%rcx
1.000	0x1c2a10	<rexx_exec::Interp>::run_ops_from::<false>	slice/index.rs	184	cmp %rdx,0x10(%rcx)
1.000	0x1c2a14	<rexx_exec::Interp>::run_ops_from::<false>	slice/index.rs	184	jbe 1c5b21 <<rexx_exec::Interp>::run_ops_from::<false>+0x3441>
1.000	0x1c2a1a	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	mov 0x8(%rax),%eax
1.000	0x1c2a1d	<rexx_exec::Interp>::run_ops_from::<false>	ir/drive.rs	0	mov %rax,0x180(%rsp)
1.000	0x1c2a25	<rexx_exec::Interp>::run_ops_from::<false>	slice/index.rs	186	imul $0xb8,%rdx,%rax
1.000	0x1c2a2c	<rexx_exec::Interp>::run_ops_from::<false>	src/trace.rs	642	movzbl 0x1849(%r14),%esi
1.000	0x1c2a34	<rexx_exec::Interp>::run_ops_from::<false>	src/trace.rs	0	mov %sil,0x178(%rsp)
1.000	0x1c2a3c	<rexx_exec::Interp>::run_ops_from::<false>	slice/index.rs	186	add 0x8(%rcx),%rax
1.000	0x1c2a40	<rexx_exec::Interp>::run_ops_from::<false>	slice/index.rs	0	mov %rax,0x80(%rsp)
1.000	0x1c2a48	<rexx_exec::Interp>::run_ops_from::<false>	src/clause.rs	273	decl 0x1838(%r14)
1.000	0x1c2a4f	<rexx_exec::Interp>::run_ops_from::<false>	src/clause.rs	273	mov %rdx,0x98(%rsp)
1.000	0x1c2a57	<rexx_exec::Interp>::run_ops_from::<false>	src/clause.rs	274	je 1c559d <<rexx_exec::Interp>::run_ops_from::<false>+0x2ebd>
